"";"sofifa_id";"short_name";"age";"height_cm";"weight_kg";"overall";"value_eur";"wage_eur";"pace";"shooting";"passing";"dribbling";"defending";"physic";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_standing_tackle";"defending_sliding_tackle";"right_foot";"Role"
"627";"#203483";"D. Klaassen";27;179;70;77;10000000;29000;64;77;72;75;69;75;64;75;75;76;81;73;61;44;75;81;67;61;68;78;68;81;67;90;68;76;78;70;78;79;68;80;74;65;1;"Milieu__gauche"
"628";"#204760";"C. Taylor";26;180;70;77;9000000;48000;70;54;71;74;76;76;77;49;73;73;43;76;69;61;69;74;66;73;68;74;69;63;76;77;74;59;79;75;63;65;45;71;77;76;0;"arriere_gauche"
"629";"#206590";"Moi Gómez";26;176;71;77;10500000;31000;68;72;77;78;54;60;77;72;54;80;65;79;82;59;75;78;69;67;76;74;75;74;64;76;54;75;52;54;75;77;59;74;50;37;1;"Milieu__gauche"
"630";"#210384";"R. Haps";27;175;66;77;9000000;14000;89;60;66;77;71;72;73;57;58;75;49;78;65;47;60;73;88;89;85;74;82;67;73;81;66;60;73;73;70;55;50;67;74;71;0;"arriere_gauche"
"631";"#211093";"C. McGregor";27;174;74;77;9000000;47000;80;69;74;78;71;76;67;70;44;81;49;76;74;65;70;81;81;79;79;72;85;70;54;92;68;72;80;75;70;75;56;82;73;72;0;"Milieu__gauche"
"632";"#212207";"N. Stanciu";27;170;63;77;10000000;500;73;72;79;78;52;67;77;69;66;79;68;77;78;80;82;78;75;71;84;78;83;75;63;82;61;76;63;50;70;81;73;71;47;47;1;"Milieu_central"
"633";"#217036";"Álex Moreno";27;179;68;77;9000000;22000;89;60;71;78;70;64;75;59;60;73;65;78;69;57;64;75;87;90;85;74;79;61;62;93;51;56;63;69;73;73;70;60;74;71;0;"arriere_gauche"
"634";"#54050";"W. Rooney";34;176;83;77;4500000;31000;53;81;80;76;56;75;73;80;75;80;83;74;82;81;83;82;54;53;61;82;77;84;71;66;78;80;81;56;78;82;81;88;55;40;1;"Milieu__droit"
"635";"#152908";"A. Young";34;175;65;77;4500000;79000;69;67;74;77;74;68;78;65;62;75;74;78;85;75;64;77;72;67;71;77;76;74;58;68;62;63;85;77;71;73;60;73;75;73;1;"Milieu__gauche"
"636";"#153260";"Hilton";42;180;78;77;0;20000;33;51;67;65;81;70;60;45;79;73;51;64;54;48;72;72;32;33;54;70;58;55;81;52;75;58;75;84;50;67;64;77;80;77;1;"arriere_central"
"637";"#159175";"A. Romao";36;180;74;77;1900000;7000;51;55;67;69;76;81;60;42;70;76;57;68;35;45;71;72;48;53;64;77;70;69;75;84;78;67;87;77;55;70;57;77;78;75;1;"Milieu__gauche"
"638";"#164468";"G. Cahill";34;193;88;77;3300000;48000;37;58;51;57;79;76;28;56;82;60;47;56;48;27;60;59;34;40;49;75;44;63;76;55;83;64;84;76;45;56;53;75;82;77;1;"arriere_central"
"639";"#169706";"J. Cork";31;183;75;77;6500000;48000;47;60;73;69;76;79;69;54;70;77;53;67;74;64;76;75;52;42;61;76;65;73;75;88;76;63;77;76;63;68;60;77;76;71;1;"Milieu__gauche"
"640";"#176495";"Matheus";37;175;68;77;3000000;9000;87;75;64;79;36;65;66;76;54;65;49;83;45;81;52;79;86;87;82;78;41;77;58;69;70;78;49;34;74;71;68;75;38;24;0;"Ailier_droit"
"641";"#178007";"Miguel Veloso";34;180;79;77;4300000;28000;48;70;82;75;66;69;82;61;67;83;70;73;83;81;85;82;49;47;66;69;75;80;68;65;71;80;71;71;65;80;73;81;72;70;0;"Milieu__gauche"
"642";"#178415";"R. Vormer";32;178;79;77;6500000;26000;59;74;79;70;75;79;79;70;70;80;76;67;77;82;76;75;64;55;63;75;70;78;67;93;73;76;80;77;79;80;75;79;75;70;1;"Milieu__droit"
"643";"#179789";"D. Da Silva";32;184;83;77;5500000;40000;53;37;57;54;79;75;49;25;80;73;36;42;38;31;71;69;43;62;60;72;59;57;80;64;78;41;81;78;39;40;43;73;78;77;1;"arriere_central"
"644";"#180819";"A. Lallana";32;178;73;77;6500000;54000;66;71;78;81;62;63;74;70;67;83;72;81;77;66;75;84;69;64;77;73;75;72;68;58;60;71;76;63;74;81;70;80;62;62;1;"Milieu_central"
"645";"#182896";"R. Rosales";31;174;73;77;6500000;14000;69;64;70;74;76;67;77;59;62;73;54;72;69;54;67;76;70;68;75;80;76;76;68;66;65;70;72;79;66;65;48;75;76;77;1;"arriere_droit"
"646";"#182945";"M. Gradel";32;177;70;77;7000000;22000;77;75;71;79;42;62;70;76;65;72;67;80;67;72;66;79;80;75;81;76;70;75;69;70;59;74;59;51;78;75;75;76;40;35;1;"Milieu__gauche"
"647";"#183855";"A. Ogbonna";32;191;86;77;5500000;37000;53;39;58;60;79;74;51;25;79;68;30;61;51;36;67;60;51;55;54;74;53;68;76;63;80;46;74;79;33;50;39;72;80;78;0;"arriere_central"
"648";"#184274";"C. Basham";31;190;80;77;6500000;33000;64;43;61;63;79;79;63;37;75;67;52;63;48;30;62;64;60;68;60;79;54;59;71;75;79;40;85;82;50;57;31;62;80;76;1;"arriere_central"
"649";"#184575";"R. Alessandrini";31;173;70;77;8000000;18000;84;76;73;78;48;66;74;72;53;72;75;77;78;76;68;77;85;83;87;76;81;83;61;70;60;80;75;33;75;74;73;76;55;34;0;"Milieu__gauche"
"650";"#184703";"L. Montes";34;166;68;77;4300000;26000;62;74;76;79;59;69;67;69;46;81;70;77;75;69;75;81;61;63;82;77;85;77;71;81;63;82;68;67;75;78;68;81;60;45;0;"Milieu_central"
"651";"#186143";"O. Norwood";29;175;69;77;8500000;38000;56;68;80;69;72;65;80;60;56;80;69;62;81;75;84;77;57;55;69;78;76;77;64;79;56;75;69;77;64;78;74;73;77;73;1;"Milieu_central"
"652";"#186190";"P. van Aanholt";29;176;67;77;7500000;50000;86;68;71;76;71;71;69;66;61;73;60;76;72;76;74;77;85;87;78;74;76;76;90;79;63;69;75;69;74;68;60;67;75;76;0;"arriere_gauche"
"653";"#186302";"E. Hernández";32;171;70;77;7000000;58000;73;75;75;79;46;60;76;73;49;77;72;79;75;67;72;80;75;71;78;73;79;78;72;74;60;78;39;42;74;76;70;80;45;46;1;"Milieu__droit"
"654";"#186682";"Montoro";32;181;72;77;6000000;25000;44;64;73;70;74;70;50;54;57;82;67;68;50;72;81;80;44;44;59;68;55;76;60;68;71;75;72;77;66;78;62;64;77;72;1;"Milieu__droit"
"655";"#186905";"A. Barnes";30;186;84;77;8500000;56000;61;78;68;74;47;80;66;80;79;72;75;72;62;56;65;79;62;60;66;77;69;84;83;74;80;65;88;41;79;70;80;78;46;39;1;"Attaquant"
"656";"#187598";"Rafael Tolói";29;185;75;77;7500000;47000;63;47;58;62;81;68;44;28;78;66;30;58;41;70;68;66;65;62;61;78;66;75;76;56;69;62;78;82;40;50;64;78;82;80;1;"arriere_central"
"657";"#188044";"Alan Carvalho";30;184;72;77;8500000;23000;83;75;68;82;33;71;66;79;76;68;76;83;78;72;63;79;83;83;88;75;75;74;81;75;74;68;54;33;78;72;76;70;20;22;1;"Attaquant"
"658";"#188103";"Rochina";29;182;76;77;8500000;26000;70;77;77;81;54;69;69;74;54;79;68;83;81;77;77;82;72;68;75;73;79;82;63;68;71;83;65;53;73;79;67;82;57;53;0;"Milieu__droit"
"659";"#189165";"J. Shelvey";28;184;80;77;9000000;42000;58;73;79;73;62;75;73;66;67;82;66;73;69;73;84;77;58;58;62;73;65;85;64;77;71;81;84;62;70;82;71;78;63;61;1;"Milieu__gauche"
"660";"#189177";"J. Fleck";28;169;72;77;9000000;38000;71;71;78;77;70;75;78;67;44;79;79;77;78;70;78;76;76;66;79;77;84;78;79;86;66;73;84;75;68;78;60;75;70;69;0;"Milieu__gauche"
"661";"#189250";"S. Rondón";30;186;85;77;8500000;21000;69;76;66;71;32;81;59;76;82;73;75;70;62;74;53;72;66;71;64;76;83;85;77;74;87;69;75;26;80;69;65;76;28;18;1;"Attaquant"
"662";"#189251";"S. Rudy";30;180;72;77;8000000;29000;66;67;78;77;75;67;73;62;59;80;66;76;81;77;80;80;66;66;75;78;74;73;65;77;66;72;58;81;69;78;71;80;73;71;1;"arriere_droit"
"663";"#189433";"B. Hübner";30;193;86;77;7000000;31000;53;31;54;58;81;74;47;20;84;62;45;58;40;42;58;63;52;53;43;74;48;52;61;61;80;22;76;80;41;51;50;71;82;79;0;"arriere_central"
"664";"#189472";"Aridane";31;186;77;77;6500000;29000;60;36;53;53;76;84;45;26;78;63;40;40;47;46;53;65;54;64;67;72;54;66;87;78;89;31;78;76;35;47;31;66;78;79;1;"arriere_central"
"665";"#189615";"A. Cresswell";30;175;66;77;7000000;37000;70;60;74;75;75;66;79;54;65;76;48;76;77;70;69;74;73;68;73;74;81;71;84;68;61;66;73;75;60;68;59;71;78;79;0;"arriere_gauche"
"666";"#190432";"Oier";34;178;72;77;3400000;29000;64;64;72;69;74;75;64;62;59;78;44;65;61;45;77;77;65;64;65;69;70;73;78;74;73;65;78;76;69;75;56;61;78;75;1;"Milieu__droit"
"667";"#190577";"S. Blanco";32;168;68;77;7000000;10000;76;75;74;78;33;70;75;70;66;76;76;78;70;61;73;76;77;75;86;76;79;84;65;85;59;82;81;33;73;74;62;62;25;33;1;"Milieu__gauche"
"668";"#190875";"J. Kucka";33;186;84;77;5000000;33000;57;74;73;74;77;87;68;68;75;76;69;75;68;69;76;77;60;55;68;79;54;85;90;86;87;79;86;78;75;73;71;75;77;78;1;"Milieu__droit"
"669";"#192270";"Johnathan";30;184;75;77;8500000;19000;81;77;63;76;40;79;60;78;80;68;70;78;74;57;54;74;81;81;79;69;76;80;84;88;80;79;63;31;75;62;58;67;31;26;1;"Attaquant"
"670";"#192427";"Júnior Caiçara";31;173;70;77;6500000;34000;80;56;74;76;72;67;74;43;55;79;51;76;70;70;74;73;83;77;76;74;88;71;71;84;56;62;74;70;72;69;75;67;77;73;1;"arriere_droit"
"671";"#192641";"K. Vogt";28;194;85;77;8000000;33000;70;57;72;67;77;77;63;50;77;80;51;67;50;62;82;73;66;73;59;76;46;78;54;70;83;57;75;79;55;67;53;80;77;76;1;"arriere_central"
"672";"#192678";"Kike García";30;186;79;77;8500000;31000;62;78;64;73;38;72;56;78;81;78;78;74;42;46;49;78;61;62;62;73;51;81;72;66;76;77;71;37;84;67;70;82;34;21;1;"Attaquant"
"673";"#193361";"R. Soriano";29;182;76;77;8500000;34000;68;74;77;79;67;68;77;72;67;79;73;80;78;56;77;79;66;70;77;73;72;77;63;70;67;77;71;68;75;78;62;75;66;65;1;"Milieu_central"
"674";"#193532";"G. Medel";32;171;76;77;6000000;30000;65;47;64;68;77;80;50;31;68;76;58;63;35;45;67;68;64;66;76;78;92;65;79;76;79;59;88;79;58;65;58;80;81;75;1;"Milieu__droit"
"675";"#193683";"X. Chavalerin";29;178;66;77;7500000;26000;63;64;75;73;71;74;68;60;55;80;59;71;70;72;75;76;61;64;67;74;76;75;47;90;70;64;72;78;60;74;63;66;73;68;0;"Milieu__gauche"
"676";"#194879";"Sergi Enrich";30;181;77;77;8500000;31000;57;76;70;74;43;77;70;78;81;79;80;73;55;47;61;79;58;57;67;82;64;76;77;75;83;69;66;42;84;72;71;74;46;31;1;"Attaquant"
"677";"#194932";"A. Townsend";28;178;73;77;9000000;54000;78;75;74;79;38;67;77;70;48;75;72;80;80;78;66;80;78;78;78;75;77;83;44;75;61;79;76;37;73;75;76;70;35;34;0;"Milieu__droit"
"678";"#195096";"Fransérgio";29;187;82;77;8500000;17000;59;74;75;73;71;81;70;69;74;77;68;74;75;72;79;76;55;63;66;75;52;85;52;89;79;77;81;72;78;75;73;81;71;68;1;"Milieu__droit"
"679";"#196069";"J. Fuenzalida";35;170;67;77;3900000;500;91;63;71;79;64;67;76;59;63;72;57;79;65;59;68;78;91;91;84;76;83;69;73;82;62;62;59;68;71;71;71;69;66;65;1;"Milieu__droit"
"680";"#197083";"D. Caligiuri";32;182;80;77;7000000;29000;68;73;76;75;71;75;80;71;63;76;67;75;78;78;70;76;68;68;74;78;67;76;77;82;73;74;72;74;72;75;83;74;73;68;1;"Milieu__droit"
"681";"#197756";"J. Ayew";28;182;81;77;9000000;59000;77;76;71;79;45;74;71;78;75;74;73;81;75;69;60;78;75;78;78;76;75;76;71;77;74;74;69;40;76;72;74;70;52;35;1;"Attaquant"
"682";"#197837";"D. Boyata";29;188;84;77;7500000;41000;71;29;52;57;77;83;46;20;80;72;36;53;34;13;61;58;68;73;64;64;62;55;86;74;88;25;80;76;39;32;13;66;80;83;1;"arriere_central"
"683";"#198200";"B. Stambouli";29;180;82;77;7500000;27000;56;55;67;70;79;76;45;50;72;77;40;67;42;43;79;76;58;54;66;78;65;65;73;75;76;62;78;80;60;74;50;80;80;75;1;"arriere_central"
"684";"#198230";"Germán";33;187;82;77;4200000;25000;51;40;59;56;78;79;42;40;79;76;20;51;28;35;65;70;44;57;39;64;44;65;68;77;81;21;80;79;40;56;38;62;81;78;1;"arriere_central"
"685";"#200215";"S. Rode";29;180;71;77;7500000;27000;68;64;71;73;76;77;69;60;66;76;55;73;51;52;74;74;71;65;69;76;74;75;76;75;75;68;85;79;70;73;51;76;77;74;1;"Milieu__gauche"
"686";"#201262";"V. Darida";29;172;67;77;8500000;45000;66;71;74;80;70;63;70;67;60;77;65;80;78;69;75;79;69;64;78;75;85;75;76;97;48;76;56;69;72;74;76;79;74;65;1;"Milieu__droit"
"687";"#201982";"J. Schmid";30;180;80;77;7000000;24000;79;64;74;77;69;75;80;58;58;74;63;77;85;87;66;76;77;81;77;76;79;75;65;77;74;66;77;72;70;69;62;72;69;72;1;"arriere_droit"
"688";"#201988";"F. Fernández";31;190;83;77;6500000;37000;48;30;53;50;78;74;32;28;79;69;21;39;51;40;59;65;47;49;48;75;45;30;81;62;78;29;79;76;40;45;42;72;80;77;1;"arriere_central"
"689";"#202685";"S. Zaza";29;186;84;77;9000000;48000;73;78;62;75;50;82;52;77;79;71;80;76;71;56;45;76;72;73;74;74;69;84;88;70;86;72;84;40;78;66;79;72;42;50;0;"Attaquant"
"690";"#204538";"R. Ruidíaz";29;169;66;77;9000000;11000;84;79;66;77;32;62;67;82;74;70;71;76;66;69;53;74;82;86;83;78;86;76;75;75;55;78;62;28;80;65;70;75;22;23;1;"Attaquant"
"691";"#205566";"Alberto Moreno";27;171;65;77;8000000;29000;85;66;69;78;70;69;78;59;61;74;40;76;66;40;64;80;82;87;81;76;86;80;86;76;59;74;83;70;71;61;54;66;75;76;0;"arriere_gauche"
"692";"#205965";"S. Ristovski";28;180;72;77;7500000;14000;87;61;68;73;73;78;74;57;64;70;55;71;67;34;68;74;88;87;74;73;76;68;80;81;73;66;85;72;67;65;47;73;73;73;1;"arriere_droit"
"693";"#206493";"Y. Abdelhamid";32;190;83;77;5500000;25000;34;33;56;65;78;82;28;25;76;75;24;68;57;31;71;71;36;32;35;74;45;58;82;79;83;23;81;77;38;45;42;73;80;76;0;"arriere_central"
"694";"#206651";"Roberto Torres";31;178;72;77;8000000;31000;66;78;78;75;65;71;80;78;52;77;63;76;75;82;78;77;69;63;66;80;70;82;63;76;69;79;72;69;78;79;77;78;69;65;1;"Milieu__droit"
"695";"#207732";"Roger";29;179;74;77;9000000;28000;77;80;61;75;41;71;59;83;71;69;82;74;48;46;54;75;76;77;74;77;75;80;73;75;72;69;65;35;84;61;82;80;36;38;1;"Attaquant"
"696";"#208334";"J. Hector";30;185;75;77;7500000;26000;69;60;74;75;77;74;78;55;68;76;51;74;65;65;72;78;72;67;68;78;68;69;66;78;75;61;70;78;59;72;65;75;78;77;0;"Milieu__gauche"
"697";"#210282";"Bruno Peres";30;178;72;77;7000000;44000;88;64;69;77;70;71;74;53;60;73;71;76;69;59;66;78;84;92;81;64;81;80;68;85;67;70;65;70;70;63;70;70;73;74;1;"Milieu__droit"
"698";"#211267";"R. Centurión";27;174;65;77;9500000;21000;91;70;69;84;40;67;71;70;61;67;65;85;73;73;65;81;91;91;93;76;89;73;69;88;57;71;65;41;64;73;67;81;41;37;1;"Ailier_droit"
"699";"#213577";"Puertas";28;183;77;77;9000000;28000;78;76;72;75;44;74;77;78;73;75;65;75;62;45;68;77;77;79;77;71;71;80;73;77;75;71;70;41;82;72;65;60;39;31;1;"Milieu__droit"
"700";"#214781";"S. Romero";31;177;76;77;8000000;22000;71;78;69;75;40;68;67;80;78;74;75;74;71;45;63;78;74;69;77;71;72;82;67;71;75;68;45;26;78;72;81;69;48;37;1;"Attaquant"
"701";"#215108";"J. Buffarini";31;170;74;77;6500000;17000;88;62;68;78;70;83;65;53;66;70;47;79;53;59;68;72;86;89;88;74;78;74;74;94;77;69;87;71;70;72;72;65;72;76;1;"arriere_droit"
"702";"#223627";"O. Al Soma";31;190;86;77;8000000;42000;69;79;69;72;39;80;68;80;77;70;67;72;69;78;65;75;70;69;69;75;66;85;63;78;88;76;67;43;76;71;76;71;33;34;1;"Attaquant"
"703";"#229624";"Sergi Guardiola";29;184;78;77;9000000;24000;74;75;61;78;30;77;52;77;70;74;75;78;73;43;41;80;73;75;74;77;70;76;70;72;81;72;75;28;81;63;68;74;19;18;0;"Attaquant"
"704";"#230241";"Enzo Chissano";28;165;62;77;7500000;500;79;62;71;69;74;69;76;58;74;73;69;69;76;80;68;69;76;82;74;77;54;75;86;75;65;60;68;73;44;60;73;78;74;72;0;"arriere_gauche"
"705";"#230269";"Claudio Coíntra";24;174;71;77;10000000;25000;79;73;76;77;27;60;74;73;45;75;77;75;86;74;75;76;89;71;88;82;79;74;66;75;60;68;42;32;78;79;73;84;28;21;0;"Milieu_central"
"706";"#230331";"Wagner Laranjo";36;177;77;77;1900000;500;67;72;75;73;74;76;61;69;74;82;48;70;66;70;79;82;69;66;63;71;71;81;55;82;78;80;70;73;60;77;75;79;73;70;1;"Milieu_central"
"707";"#230337";"Andeson Trigo";32;175;68;77;5500000;23000;82;63;75;77;71;64;75;60;60;75;59;76;84;77;72;73;85;79;89;82;79;70;69;84;52;61;70;62;72;73;67;80;74;77;0;"arriere_gauche"
"708";"#230346";"Jadsinho Mei";24;176;72;77;8500000;500;58;61;65;57;72;79;41;53;65;78;31;45;33;39;75;74;59;57;54;75;59;84;52;89;77;68;78;80;59;74;40;60;69;68;1;"Milieu__droit"
"709";"#230349";"Rodrigo Vuarte";28;179;77;77;8000000;500;65;65;70;63;76;77;67;65;53;78;53;56;60;60;76;73;63;66;62;69;65;71;54;82;75;68;80;76;57;60;47;52;76;75;0;"Milieu__gauche"
"710";"#230371";"Victildinho";24;178;75;77;8500000;12000;79;54;71;73;75;63;72;52;68;73;55;71;61;62;71;77;76;81;72;74;69;54;55;78;56;53;64;73;61;71;63;72;74;73;1;"arriere_droit"
"711";"#230379";"Vieirundinho";32;189;84;77;5500000;26000;59;39;53;56;80;81;42;29;77;69;28;48;36;30;69;67;62;57;61;69;37;65;58;79;84;41;82;76;26;32;47;68;80;78;1;"arriere_central"
"712";"#230431";"Sidney Pessinho";28;187;85;77;8000000;27000;69;62;74;69;76;80;71;56;62;75;45;72;81;77;77;71;69;69;52;81;48;73;68;76;85;72;77;76;52;72;67;67;76;76;1;"Milieu__droit"
"713";"#237135";"Davidson";29;177;63;77;8500000;19000;78;75;71;80;41;71;72;73;60;72;64;82;80;69;63;79;76;80;79;79;73;83;70;85;64;73;70;32;77;74;71;80;40;41;1;"Milieu__gauche"
"714";"#241788";"M. Taremi";27;187;82;77;9500000;16000;67;76;66;81;33;65;65;78;69;70;73;85;71;43;58;83;68;67;66;79;60;79;70;71;76;72;31;17;78;69;72;80;37;19;1;"Attaquant"
"715";"#253004";"Ansu Fati";17;178;66;76;15000000;24000;88;71;68;79;29;53;69;75;58;72;59;79;64;45;69;77;89;87;89;70;82;67;73;64;48;70;48;19;68;67;74;73;32;28;1;"Ailier_gauche"
"716";"#248243";"E. Camavinga";17;182;68;76;12000000;5000;71;62;74;77;75;75;69;58;64;79;51;77;72;59;75;78;72;70;77;75;76;72;68;79;75;63;74;75;72;75;59;79;78;76;0;"Milieu__gauche"
"717";"#228708";"L. Martínez Quarta";24;183;78;76;11000000;14000;70;59;70;72;74;80;65;55;79;77;51;71;57;49;75;73;67;73;73;71;65;65;85;73;81;59;85;75;63;69;66;79;75;75;1;"arriere_central"
"718";"#241202";"P. Daka";21;183;71;76;12000000;22000;93;76;58;76;24;70;51;81;66;66;73;76;65;35;61;74;94;93;87;76;71;76;88;80;66;71;63;17;76;53;60;63;24;16;1;"Attaquant"
"719";"#252935";"L. Fernández";21;166;65;76;12000000;31000;72;76;73;78;41;63;70;72;41;75;58;79;69;74;69;76;74;71;81;69;85;84;50;67;65;84;55;32;76;77;70;68;45;43;0;"Milieu_central"
"720";"#225782";"A. Maitland-Niles";22;177;70;76;10000000;52000;83;59;69;76;69;68;71;56;54;74;44;77;60;36;67;76;82;83;79;73;71;65;55;77;66;62;64;71;66;72;54;77;73;69;1;"arriere_gauche"
"721";"#235926";"M. Zaracho";22;171;65;76;11000000;17000;89;70;74;82;63;63;66;70;49;81;58;81;65;58;73;80;92;87;93;72;92;72;60;79;56;73;60;59;73;76;57;80;70;62;1;"Milieu__droit"
"722";"#236532";"R. Koch";23;191;86;76;10500000;64000;71;38;59;63;77;75;40;27;78;71;29;58;31;28;70;70;67;74;62;75;60;56;66;72;78;42;73;76;52;64;38;71;78;76;1;"arriere_central"
"723";"#244380";"V. Mykolenko";21;180;71;76;10000000;500;78;44;62;57;73;63;76;44;58;72;27;47;32;32;55;66;77;78;69;73;67;47;66;78;57;49;57;72;41;52;35;59;73;76;0;"arriere_gauche"
"724";"#222368";"A. Miranchuk";24;183;72;76;11000000;500;76;73;74;77;28;62;69;76;44;78;60;76;62;72;73;78;75;76;74;76;82;74;49;72;68;69;39;22;74;77;71;80;30;31;1;"Milieu_central"
"725";"#226168";"M. Eggestein";23;181;75;76;10500000;23000;71;66;73;77;71;78;70;59;65;76;50;77;64;48;76;81;67;74;73;77;69;81;53;94;76;72;70;70;67;76;60;75;73;70;1;"Milieu__droit"
"726";"#229862";"Edu Expósito";23;179;67;76;10500000;23000;54;70;71;74;66;57;56;74;46;80;36;76;34;50;78;77;62;47;61;77;68;68;47;68;53;73;58;73;71;80;70;72;71;52;1;"Milieu__droit"
"727";"#231102";"L. Blas";22;180;70;76;11000000;22000;75;71;74;79;60;63;72;68;58;77;70;79;69;52;74;80;79;71;80;72;77;72;65;71;61;74;55;67;73;75;71;78;65;61;0;"Milieu_central"
"728";"#233195";"X. Schlager";22;174;76;76;10500000;35000;70;69;71;76;65;75;59;64;44;76;58;75;70;60;72;77;77;64;78;79;77;77;60;85;71;75;77;78;74;76;56;72;67;69;0;"Milieu__droit"
"729";"#234711";"J. Brekalo";22;175;70;76;11000000;35000;77;69;70;83;36;52;74;65;45;74;62;85;72;60;59;80;86;69;87;75;83;75;63;66;49;75;38;30;69;69;59;68;28;37;1;"Milieu__gauche"
"730";"#236461";"J. Mateta";23;192;88;76;11000000;26000;76;74;53;72;33;77;39;77;78;65;73;74;53;32;41;73;74;78;70;75;53;75;77;65;85;63;71;26;79;59;74;69;31;22;1;"Attaquant"
"731";"#224081";"K. Phillips";24;178;72;76;9500000;64000;66;66;70;68;73;83;65;64;64;73;55;65;52;67;78;72;65;66;68;72;72;75;82;85;81;67;84;73;66;68;58;77;77;72;1;"Milieu_central"
"732";"#224221";"J. Andersen";24;192;90;76;9500000;41000;58;47;63;56;77;77;36;40;76;78;33;51;49;36;80;65;55;60;48;73;57;73;78;69;82;43;74;77;34;61;44;71;78;76;1;"arriere_central"
"733";"#229582";"G. Mancini";24;190;77;76;9500000;35000;54;45;48;57;78;75;34;48;79;59;40;51;38;34;42;70;54;54;34;77;57;51;71;73;75;34;76;78;32;51;47;66;79;77;1;"arriere_central"
"734";"#232244";"S. Ascacíbar";23;168;70;76;9500000;31000;62;46;61;68;77;75;51;36;47;70;47;65;47;41;67;66;74;52;80;74;88;53;83;89;61;64;90;83;31;60;48;65;80;78;1;"Milieu__gauche"
"735";"#236786";"M. Terrier";23;184;73;76;10500000;39000;84;75;73;75;35;65;68;77;65;77;66;75;76;58;71;77;82;86;73;74;68;77;71;69;67;74;55;27;78;76;62;74;31;34;1;"Ailier_gauche"
"736";"#210881";"J. McGinn";25;178;68;76;10000000;49000;70;71;72;78;71;79;64;71;59;76;71;80;66;61;75;75;73;68;77;75;79;72;75;89;76;73;76;73;72;75;55;64;75;69;0;"Milieu__droit"
"737";"#216816";"G. Simeone";24;181;81;76;10500000;29000;76;75;59;76;39;71;40;78;79;68;72;76;69;60;55;76;77;76;75;76;73;79;84;73;69;66;70;24;80;60;71;76;29;26;1;"Attaquant"
"738";"#218659";"M. Targett";24;183;70;76;9000000;40000;72;46;70;70;73;68;81;40;60;73;40;69;77;62;62;74;70;74;69;74;63;65;61;78;65;38;63;77;62;62;51;65;74;71;0;"arriere_gauche"
"739";"#221697";"O. Watkins";24;180;70;76;10500000;49000;83;73;68;74;46;67;67;77;80;70;60;73;63;56;59;73;79;86;79;74;73;74;83;82;71;69;34;44;79;74;60;62;46;36;1;"Attaquant"
"740";"#225201";"Alex Berenguer";24;175;73;76;10500000;38000;80;72;73;79;63;63;77;74;49;77;68;79;74;66;59;79;86;75;78;78;80;74;64;72;54;68;72;65;77;75;69;68;64;66;1;"Milieu_central"
"741";"#225403";"I. Kahveci";24;176;67;76;10000000;30000;78;68;76;78;65;71;70;67;55;78;60;78;77;77;75;78;76;79;75;75;79;72;60;90;64;72;65;71;67;77;54;74;61;53;0;"Milieu__gauche"
"742";"#227234";"L. Tousart";23;185;83;76;9500000;31000;59;54;64;61;79;83;56;42;76;77;43;58;36;45;68;65;62;57;59;69;66;79;82;85;82;58;81;82;57;58;48;66;80;74;1;"Milieu_central"
"743";"#228414";"Matheus Pereira";24;175;74;76;10500000;61000;79;73;74;79;39;63;73;73;43;77;69;79;78;71;64;78;79;79;85;71;88;74;66;71;60;73;61;39;73;76;71;70;37;29;0;"Milieu_central"
"744";"#228881";"D. Calabria";23;176;70;76;9000000;27000;73;43;67;72;75;66;76;30;64;72;58;70;76;48;66;71;75;72;78;74;78;62;68;74;58;48;76;75;42;50;48;74;76;75;1;"arriere_droit"
"745";"#234678";"J. Mæhle";23;184;79;76;9000000;13000;91;56;67;71;68;79;70;50;59;73;62;71;63;25;68;73;88;93;67;71;64;65;84;94;74;62;73;69;72;65;33;70;72;70;1;"arriere_droit"
"746";"#235634";"G. Konan";24;176;71;76;9000000;20000;79;48;68;77;70;73;72;43;60;71;58;78;73;32;64;76;82;76;75;74;74;57;69;91;66;46;70;72;70;68;41;77;75;69;0;"arriere_gauche"
"747";"#236441";"F. Bustos";24;167;66;76;9000000;15000;86;63;70;76;69;71;76;63;58;73;41;78;63;37;69;74;88;85;78;72;77;72;50;86;64;59;75;70;76;71;44;73;70;73;1;"arriere_droit"
"748";"#240190";"K. Malong";24;180;79;76;9500000;21000;82;69;70;74;70;82;69;63;54;76;52;76;62;40;74;74;76;86;66;74;76;85;76;77;85;74;84;74;66;68;57;67;71;73;1;"Milieu__droit"
"749";"#246844";"Carlos Neva";24;174;64;76;9000000;20000;78;50;61;70;74;64;76;45;65;70;37;70;54;35;45;69;78;78;75;74;69;64;58;68;61;49;69;74;67;51;48;61;77;75;0;"arriere_gauche"
